CalendarDate,HolidayNameHebrew
2014-10-14,חול המועד סוכות
2014-10-15,חול המועד סוכות
2014-10-16,שמיני עצרת (שמחת תורה)
2014-10-17,איסרו חג סוכות
2014-11-20,חג הסיגד של יהודי ביתא ישראל (אתיופיה)
2014-12-17,ערב חנוכה
2014-12-18,חנוכה
2014-12-19,חנוכה
2014-12-20,חנוכה
2014-12-21,חנוכה
2014-12-22,חנוכה
2014-12-23,חנוכה
2014-12-24,חנוכה
2014-12-25,חנוכה
2014-12-26,חג המולד
2014-12-31,ערב ראשית השנה האזרחית
2015-01-01,צום י בטבת
2015-01-05,ערב חג ההתגלות
2015-01-06,חג ההתגלות
2015-01-24,ערב נבי אלח'אדר (חג הנביא אליהו)
2015-01-25,נבי אלח'אדר (חג הנביא אליהו)
2015-02-04,טו בשבט
2015-03-04,תענית אסתר
2015-03-05,פורים
2015-03-06,שושן פורים
2015-03-25,יום הבשורה
2015-04-03,ערב פסח
2015-04-04,פסח
2015-04-05,חול המועד פסח
2015-04-06,חול המועד פסח
2015-04-07,חול המועד פסח
2015-04-08,חול המועד פסח
2015-04-09,חול המועד פסח
2015-04-10,חג שביעי של פסח
2015-04-11,איסרו חג פסח (מימונה)
2015-04-16,יום הזכרון לשואה ולגבורה
2015-04-22,יום הזכרון
2015-04-23,יום העצמאות
2015-04-24,ערב חג הנביא שועייב
2015-04-25,חג הנביא שועייב
2015-04-26,חג הנביא שועייב
2015-04-27,חג הנביא שועייב
2015-04-28,חג הנביא שועייב
2015-05-06,ערב לג בעומר
2015-05-07,לג בעומר
2015-05-13,ערב העלייה השמיימה
2015-05-14,העלייה השמיימה
2015-05-16,לילת אלסאראא ולמעראג (עלית הנביא השמיימה)
2015-05-17,יום ירושלים
2015-05-23,ערב שבועות
2015-05-24,שבועות
2015-05-25,איסרו חג שבועות
2015-06-18,רמדאן
2015-06-19,רמדאן
2015-06-20,רמדאן
2015-06-21,רמדאן
2015-06-22,רמדאן
2015-06-23,רמדאן
2015-06-24,רמדאן
2015-06-25,רמדאן
2015-06-26,רמדאן
2015-06-27,רמדאן
2015-06-28,רמדאן
2015-06-29,רמדאן
2015-06-30,רמדאן
2015-07-01,רמדאן
2015-07-02,רמדאן
2015-07-03,רמדאן
2015-07-04,רמדאן
2015-07-05,יז תמוז
2015-07-06,רמדאן
2015-07-07,רמדאן
2015-07-08,רמדאן
2015-07-09,רמדאן
2015-07-10,רמדאן
2015-07-11,רמדאן
2015-07-12,רמדאן
2015-07-13,רמדאן
2015-07-14,רמדאן
2015-07-15,רמדאן
2015-07-16,רמדאן
2015-07-17,ערב איד אל פיטר
2015-07-18,עיד אל פיטר
2015-07-19,עיד אל פיטר
2015-07-20,עיד אל פיטר
2015-07-25,ערב ט באב
2015-07-26,ט אב
2015-07-31,טו באב
2015-08-25,חג הנביא אל יעפורי
2015-09-09,ערב חג נבי סבלאן
2015-09-10,חג נבי סבלאן
